Name,Action,Adventure,Comedy,Crime,Drama,History,Horror,Musical,Science Fiction
Adam Driver,7,5,1,1,1,10,10,10,4
Adam Sandler,1,7,10,9,8,5,0,2,6
Arnold Schwarzenegger,8,2,2,1,5,3,3,0,5
Ben Affleck,0,9,7,0,3,2,7,7,10
Ben Stiller,10,3,10,4,8,4,1,2,2
Benedict Cumberbatch,5,3,10,6,9,4,7,6,10
Benedict Wong,8,2,10,5,10,6,5,6,3
Bill Murray,0,7,6,1,10,9,5,1,10
Brad Pitt,7,9,9,1,2,9,0,4,7
Bradley Cooper,5,5,3,2,8,0,9,7,0
Bruce Willis,5,9,6,4,3,2,6,9,6
Cameron Diaz,4,0,7,0,6,7,2,8,3
Carrie Fisher,7,7,1,2,4,0,4,5,8
Chadwick Boseman,7,6,6,6,5,9,1,3,3
Channing Tatum,10,2,6,5,9,7,5,0,2
Chris Evans,9,2,9,6,8,8,4,6,3
Chris Hemsworth,9,8,1,3,0,8,4,0,10
Chris Pine,9,0,4,3,5,10,8,4,1
Chris Pratt,7,9,9,9,2,1,6,3,1
Christian Bale,7,7,5,4,10,3,10,8,10
Clint Eastwood,9,0,6,10,9,7,10,5,0
Daisy Ridley,5,1,6,7,2,3,10,9,6
Danai Gurira,6,1,6,2,3,6,9,4,1
Daniel Radcliffe,10,7,7,0,6,8,7,6,5
Dave Bautista,10,1,4,5,0,6,8,4,0
Denzel Washington,2,10,1,0,0,8,9,9,6
Don Cheadle,9,2,8,4,4,5,1,9,7
Dustin Hoffman,7,10,2,2,4,10,0,3,4
Dwayne Johnson,9,4,1,1,3,5,5,7,4
Eddie Murphy,6,5,2,4,1,7,3,0,5
Elizabeth Olsen,4,7,5,10,9,7,9,8,9
Emma Watson,4,5,7,10,1,5,9,7,10
Ewan McGregor,4,1,10,6,5,8,5,1,10
George Clooney,9,6,4,9,3,6,10,0,4
Gwyneth Paltrow,10,9,7,8,4,6,4,8,5
Harrison Ford,5,0,8,4,4,1,0,1,8
Hugh Jackman,6,1,0,4,10,0,0,6,2
Ian McKellen,5,3,2,9,3,1,8,10,6
Idris Elba,2,10,3,10,8,9,10,7,6
Jack Black,3,8,9,8,6,2,3,2,2
Jennifer Lawrence,0,4,7,0,6,4,4,8,8
Jeremy Renner,0,8,2,1,1,9,0,1,2
Jim Carrey,0,7,7,6,1,4,5,0,5
John Boyega,8,7,1,8,7,2,4,0,5
John Travolta,10,8,1,6,7,1,3,6,8
Johnny Depp,0,0,6,0,9,2,0,9,4
Jon Favreau,9,8,9,9,1,8,1,8,2
Josh Brolin,9,2,4,7,4,6,0,1,0
Julia Roberts,9,0,5,3,0,0,2,6,0
Karen Gillan,3,3,3,0,4,10,6,7,7
Keanu Reeves,8,0,7,6,3,8,8,8,7
Kevin Costner,3,2,3,6,6,7,5,0,6
Kevin Hart,8,6,7,9,5,4,0,6,10
Kristen Stewart,8,1,6,6,6,3,1,5,9
Leonardo DiCaprio,10,6,1,5,3,6,2,9,9
Letitia Wright,6,1,9,3,5,1,0,10,1
Liam Neeson,5,1,9,9,7,0,2,3,5
Mark Hamill,7,5,3,0,3,3,3,5,10
Mark Ruffalo,8,0,0,5,1,0,7,7,7
Mark Wahlberg,8,1,9,1,5,3,5,10,4
Martin Freeman,3,9,3,7,7,4,10,8,7
Matt Damon,7,5,1,6,6,8,8,6,8
Mel Gibson,2,8,6,2,4,8,0,0,5
Meryl Streep,5,6,2,10,3,8,3,2,7
Michael Douglas,7,7,2,7,7,10,7,8,9
Mike Myers,8,1,9,1,3,7,7,5,10
Morgan Freeman,6,8,2,8,5,1,2,1,10
Natalie Portman,9,1,10,1,7,1,5,10,8
Nicolas Cage,5,3,10,3,7,2,5,3,3
Nicole Kidman,7,5,2,2,3,7,4,8,9
Orlando Bloom,4,3,2,0,1,7,10,7,5
Owen Wilson,7,8,0,1,7,0,8,2,10
Paul Bettany,0,9,10,7,0,8,9,0,5
Paul Rudd,7,4,2,8,0,1,0,1,2
Pom Klementieff,4,5,4,2,8,8,2,6,9
Reese Witherspoon,4,0,4,6,0,0,6,9,7
Robert De Niro,8,6,3,8,7,0,7,9,10
Robert Downey Jr.,9,7,4,2,10,0,1,3,5
Robin Williams,0,7,2,10,2,1,1,2,2
Rupert Grint,5,6,6,1,8,4,9,0,7
Ryan Reynolds,4,10,8,1,0,8,3,5,2
Samuel L. Jackson,1,8,6,0,2,5,9,1,3
Sandra Bullock,4,6,6,5,7,7,8,9,10
Scarlett Johansson,10,2,10,1,1,0,2,3,5
Sebastian Stan,2,6,1,10,10,10,2,9,6
Shia LaBeouf,4,4,3,3,7,1,6,6,5
Simon Pegg,0,9,3,3,2,2,1,3,2
Steve Carell,6,1,6,6,10,0,5,3,4
Steve Martin,9,6,3,10,3,8,1,5,0
Sylvester Stallone,0,9,3,7,3,6,6,6,6
Taylor Lautner,6,7,7,4,0,6,10,3,5
Tim Allen,7,9,4,7,1,3,9,10,4
Tom Cruise,3,0,4,4,2,10,3,0,10
Tom Hanks,6,4,0,4,2,0,10,1,2
Tom Hiddleston,3,9,9,10,9,7,8,0,8
Tom Holland,0,5,9,3,1,10,6,10,1
Vin Diesel,7,0,0,7,7,4,9,8,0
Will Ferrell,5,3,2,9,8,5,3,4,3
Will Smith,3,5,10,2,10,3,3,8,7
Zoe Saldana,0,6,5,9,8,7,10,8,0
